timestamp,freq,cpu,ram
1746982296.328,5.0,42.5,32.9
1746982296.528,5.0,67.2,33.0
1746982296.728,5.0,62.5,33.1
1746982296.928,5.0,51.9,33.1
1746982297.128,5.0,51.7,33.1
1746982297.328,5.0,71.0,33.2
1746982297.528,5.0,54.6,33.2
1746982297.728,5.0,58.0,33.2
1746982297.928,5.0,61.2,33.2
1746982298.128,5.0,61.6,33.2
1746982298.328,5.0,53.0,33.4
1746982298.528,5.0,49.6,33.2
1746982298.728,5.0,40.9,33.2
1746982298.928,5.0,16.9,33.2
1746982299.128,5.0,22.6,33.2
1746982299.327,5.0,25.9,33.2
1746982299.528,5.0,26.7,33.2
1746982299.728,5.0,24.8,33.2
1746982299.928,5.0,29.7,33.2
1746982300.127,5.0,32.8,33.2
1746982300.328,5.0,27.8,33.2
1746982300.527,5.0,29.0,33.2
1746982300.728,5.0,32.1,33.2
1746982300.928,5.0,38.0,33.2
1746982301.128,5.0,31.9,33.2
1746982301.328,5.0,30.4,33.2
1746982301.528,5.0,33.1,33.2
1746982301.728,5.0,33.3,33.2
1746982301.928,5.0,32.2,33.2
1746982302.128,5.0,31.2,33.2
1746982302.328,5.0,30.1,33.2
1746982302.528,5.0,19.5,33.2
1746982302.728,5.0,23.8,33.2
1746982302.929,5.0,25.1,33.2
1746982303.128,5.0,30.0,33.2
1746982303.328,5.0,28.3,33.2
1746982303.528,5.0,23.2,33.2
1746982303.728,5.0,22.5,33.2
1746982303.928,5.0,18.8,33.2
1746982304.128,5.0,23.9,33.2
1746982304.328,5.0,23.7,33.2
1746982304.528,5.0,24.6,33.2
1746982304.728,5.0,22.9,33.2
1746982304.928,5.0,23.5,33.2
1746982305.128,5.0,21.5,33.2
1746982305.328,5.0,21.6,33.2
1746982305.527,5.0,24.5,33.2
1746982305.728,5.0,24.4,33.2
1746982305.928,5.0,21.2,33.2
1746982306.128,5.0,23.3,33.2
1746982306.327,5.0,27.6,33.2
1746982306.528,5.0,26.0,33.2
1746982306.728,5.0,21.6,33.2
1746982306.928,5.0,25.1,33.2
1746982307.128,5.0,22.8,33.2
1746982307.328,5.0,23.0,33.2
